,基金代码,基金简称,2021-07-14-单位净值,2021-07-14-累计净值,2021-07-13-单位净值,2021-07-13-累计净值,日增长值,日增长率,申购状态,赎回状态,手续费
0,168106,九泰盈华量化混合(LOF)A,1.5416,1.5416,1.4561,1.4561,0.0855,5.87,开放申购,开放赎回,0.15%
1,168107,九泰盈华量化混合(LOF)C,1.5046,1.5046,1.4222,1.4222,0.0824,5.79,开放申购,开放赎回,0.00%
2,005209,东吴双三角股票A,1.3431,1.3431,1.2992,1.2992,0.0439,3.38,开放申购,开放赎回,0.15%
3,005210,东吴双三角股票C,1.3165,1.3165,1.2735,1.2735,0.0430,3.38,开放申购,开放赎回,0.00%
4,010387,易方达医药生物股票A,1.1514,1.1514,1.1204,1.1204,0.0310,2.77,开放申购,开放赎回,0.15%
5,010388,易方达医药生物股票C,1.1483,1.1483,1.1173,1.1173,0.0310,2.77,开放申购,开放赎回,0.00%
6,010654,天弘医药创新A,1.2824,1.2824,1.2483,1.2483,0.0341,2.73,开放申购,开放赎回,0.12%
7,010655,天弘医药创新C,1.2795,1.2795,1.2455,1.2455,0.0340,2.73,开放申购,开放赎回,0.00%
8,009017,银华港股通精选股票发起式,1.5592,1.5592,1.5220,1.5220,0.0372,2.44,开放申购,开放赎回,0.15%
9,006240,中融医疗健康混合A,2.3356,2.3356,2.2819,2.2819,0.0537,2.35,开放申购,开放赎回,0.15%
10,006241,中融医疗健康混合C,2.3031,2.3031,2.2502,2.2502,0.0529,2.35,开放申购,开放赎回,0.00%
11,001766,上投摩根医疗健康股票,2.9932,2.9932,2.9320,2.9320,0.0612,2.09,开放申购,开放赎回,0.15%
12,005433,申万菱信医药先锋股票,1.1684,1.1684,1.1447,1.1447,0.0237,2.07,开放申购,开放赎回,0.15%
13,005453,前海开源医疗健康A,3.2548,3.2548,3.1910,3.1910,0.0638,2.00,开放申购,开放赎回,0.15%
14,005454,前海开源医疗健康C,3.2440,3.2440,3.1804,3.1804,0.0636,2.00,开放申购,开放赎回,0.00%
15,006235,东方城镇消费主题混合,2.0029,2.0029,1.9637,1.9637,0.0392,2.00,开放申购,开放赎回,0.15%
16,002697,中欧消费主题股票C,2.9270,2.9270,2.87,2.87,0.0570,1.99,开放申购,开放赎回,0.00%
17,002621,中欧消费主题股票A,2.9520,2.9520,2.8950,2.8950,0.0570,1.97,开放申购,开放赎回,0.15%
18,011601,前海开源公共卫生股票A,1.1232,1.1232,1.1016,1.1016,0.0216,1.96,开放申购,开放赎回,0.15%
19,011602,前海开源公共卫生股票C,1.1219,1.1219,1.1003,1.1003,0.0216,1.96,开放申购,开放赎回,0.00%
20,007718,中银创新医疗混合A,2.2066,2.2066,2.1646,2.1646,0.0420,1.94,开放申购,开放赎回,0.15%
21,010500,中银创新医疗混合C,2.2009,2.2009,2.1590,2.1590,0.0419,1.94,开放申购,开放赎回,0.00%
22,005620,中欧品质消费股票A,2.1778,2.4328,2.1366,2.3916,0.0412,1.93,开放申购,开放赎回,0.15%
23,005621,中欧品质消费股票C,2.1339,2.3729,2.0937,2.3327,0.0402,1.92,开放申购,开放赎回,0.00%
24,008293,农银汇理创新医疗混合,1.8576,1.8576,1.8232,1.8232,0.0344,1.89,开放申购,开放赎回,0.15%
25,009852,银华品质消费股票,1.1581,1.1581,1.1367,1.1367,0.0214,1.88,开放申购,开放赎回,0.15%
26,009665,汇添富医疗积极成长一年持有混合C,1.2216,1.2216,1.1992,1.1992,0.0224,1.87,开放申购,暂停赎回,0.00%
27,009664,汇添富医疗积极成长一年持有混合A,1.2303,1.2303,1.2078,1.2078,0.0225,1.86,开放申购,暂停赎回,0.15%
28,009804,国泰研究优势混合,1.1309,1.1309,1.1104,1.1104,0.0205,1.85,开放申购,开放赎回,0.15%
29,001645,国泰大健康股票A,3.0520,3.6440,2.9970,3.5890,0.0550,1.84,开放申购,开放赎回,0.15%
30,011321,国泰大健康股票C,3.0460,3.0460,2.9910,2.9910,0.0550,1.84,开放申购,开放赎回,0.00%
31,399011,中海医疗保健主题股票,2.4540,3.8440,2.41,3.80,0.0440,1.83,开放申购,开放赎回,0.15%
32,009162,富国医药成长30股票,1.4918,1.4918,1.4650,1.4650,0.0268,1.83,开放申购,开放赎回,0.15%
33,008370,国泰研究精选两年持有混合,1.7858,1.7858,1.7539,1.7539,0.0319,1.82,开放申购,暂停赎回,0.15%
34,005228,添富港股通专注成长,1.1827,1.1827,1.1616,1.1616,0.0211,1.82,开放申购,开放赎回,0.15%
35,000913,农银医疗保健股票,3.4011,3.4011,3.3405,3.3405,0.0606,1.81,开放申购,开放赎回,0.15%
36,168301,东海祥龙混合(LOF),1.6507,1.6507,1.6213,1.6213,0.0294,1.81,开放申购,开放赎回,0.15%
37,020001,国泰金鹰增长混合,1.4725,5.3973,1.4463,5.3711,0.0262,1.81,开放申购,开放赎回,0.15%
38,010405,惠升医药健康6个月持有期混合,1.0369,1.0369,1.0185,1.0185,0.0184,1.81,开放申购,开放赎回,0.12%
39,010592,南方医药创新股票A,1.0197,1.0197,1.0016,1.0016,0.0181,1.81,开放申购,开放赎回,0.15%
40,001764,广发沪港深新机遇股票,1.8090,1.9460,1.7770,1.9140,0.0320,1.80,开放申购,开放赎回,0.15%
41,005520,国投瑞银创新医疗混合,1.7718,1.7718,1.7404,1.7404,0.0314,1.80,开放申购,开放赎回,0.15%
42,008998,同泰竞争优势混合C,1.4568,1.4568,1.4311,1.4311,0.0257,1.80,开放申购,开放赎回,0.00%
43,010593,南方医药创新股票C,1.0174,1.0174,0.9994,0.9994,0.0180,1.80,开放申购,开放赎回,0.00%
44,008997,同泰竞争优势混合A,1.4637,1.4637,1.4380,1.4380,0.0257,1.79,开放申购,开放赎回,0.15%
45,160215,国泰价值经典混合(LOF),2.2860,2.8960,2.2460,2.8560,0.04,1.78,开放申购,开放赎回,0.15%
46,002938,中银证券健康产业混合,1.9146,1.9146,1.8812,1.8812,0.0334,1.78,开放申购,开放赎回,0.15%
47,000452,南方医药保健灵活配置混合,4.7950,5.01,4.7130,4.9280,0.0820,1.74,开放申购,开放赎回,0.15%
48,006671,广发消费升级股票,2.1517,2.1517,2.1150,2.1150,0.0367,1.74,开放申购,开放赎回,0.15%
49,001915,宝盈医疗健康沪港深股票,2.4810,2.4810,2.4390,2.4390,0.0420,1.72,开放申购,开放赎回,0.15%
50,009502,国寿安保创新医药股票A,1.1478,1.1478,1.1285,1.1285,0.0193,1.71,开放申购,开放赎回,0.15%
51,009503,国寿安保创新医药股票C,1.1458,1.1458,1.1265,1.1265,0.0193,1.71,开放申购,开放赎回,0.00%
52,011003,同泰大健康主题混合C,1.0668,1.0668,1.0489,1.0489,0.0179,1.71,开放申购,开放赎回,0.00%
53,011002,同泰大健康主题混合A,1.0678,1.0678,1.0499,1.0499,0.0179,1.70,开放申购,开放赎回,0.15%
54,008359,华安医疗创新混合,1.7485,1.7485,1.7198,1.7198,0.0287,1.67,开放申购,开放赎回,0.15%
55,005505,前海开源中药股票A,1.9367,1.9367,1.9057,1.9057,0.0310,1.63,开放申购,开放赎回,0.15%
56,010731,广发创新医疗两年持有混合A,1.2506,1.2506,1.2306,1.2306,0.02,1.63,开放申购,暂停赎回,0.15%
57,010732,广发创新医疗两年持有混合C,1.2491,1.2491,1.2291,1.2291,0.02,1.63,开放申购,暂停赎回,0.00%
58,010110,广发医药健康混合A,1.1791,1.1791,1.1602,1.1602,0.0189,1.63,开放申购,开放赎回,0.15%
59,010111,广发医药健康混合C,1.1757,1.1757,1.1568,1.1568,0.0189,1.63,开放申购,开放赎回,0.00%
60,006228,中欧医疗创新股票A,3.0139,3.0139,2.9658,2.9658,0.0481,1.62,开放申购,开放赎回,0.15%
61,006229,中欧医疗创新股票C,2.9593,2.9593,2.9122,2.9122,0.0471,1.62,开放申购,开放赎回,0.00%
62,001861,富安达健康人生混合,2.6214,2.6214,2.5796,2.5796,0.0418,1.62,开放申购,开放赎回,0.15%
63,005506,前海开源中药股票C,1.9262,1.9262,1.8954,1.8954,0.0308,1.62,开放申购,开放赎回,0.00%
64,005238,银华医疗健康量化优选C,2.1387,2.1387,2.1049,2.1049,0.0338,1.61,开放申购,开放赎回,0.00%
65,163001,长信医疗保健混合(LOF),2.6070,3.1470,2.5660,3.1060,0.0410,1.60,开放申购,开放赎回,0.15%
66,005237,银华医疗健康量化优选A,2.1636,2.1636,2.1295,2.1295,0.0341,1.60,开放申购,开放赎回,0.15%
67,002408,中信建投医改混合A,3.2615,3.2615,3.2106,3.2106,0.0509,1.59,开放申购,开放赎回,0.12%
68,007553,中信建投医改混合C,2.7101,2.7101,2.6678,2.6678,0.0423,1.59,开放申购,开放赎回,0.00%
69,001558,天弘医疗健康混合A,2.1658,2.1658,2.1322,2.1322,0.0336,1.58,开放申购,开放赎回,0.12%
70,009542,银华富利精选混合,1.2385,1.2385,1.2192,1.2192,0.0193,1.58,开放申购,开放赎回,0.15%
71,001559,天弘医疗健康混合C,2.1218,2.1218,2.0889,2.0889,0.0329,1.57,开放申购,开放赎回,0.00%
72,004683,建信高端医疗股票,2.3891,2.3891,2.3525,2.3525,0.0366,1.56,开放申购,开放赎回,0.15%
73,009778,长信消费升级混合A,1.0637,1.1137,1.0474,1.0974,0.0163,1.56,开放申购,开放赎回,0.15%
74,009779,长信消费升级混合C,1.0592,1.1092,1.0430,1.0930,0.0162,1.55,开放申购,开放赎回,0.00%
75,009805,国泰医药健康股票A,1.0412,1.0412,1.0253,1.0253,0.0159,1.55,开放申购,开放赎回,0.15%
76,000220,富国医疗保健行业混合A,5.9440,5.9440,5.8540,5.8540,0.09,1.54,开放申购,开放赎回,0.15%
77,011151,富国医疗保健行业混合C,5.9260,5.9260,5.8360,5.8360,0.09,1.54,开放申购,开放赎回,0.00%
78,110023,易方达医疗保健行业混合,4.3610,4.3610,4.2950,4.2950,0.0660,1.54,开放申购,开放赎回,0.15%
79,010090,中信建投医药健康A,1.2980,1.2980,1.2783,1.2783,0.0197,1.54,开放申购,开放赎回,0.15%
80,010091,中信建投医药健康C,1.2898,1.2898,1.2702,1.2702,0.0196,1.54,开放申购,开放赎回,0.00%
81,011326,国泰医药健康股票C,1.0393,1.0393,1.0235,1.0235,0.0158,1.54,开放申购,开放赎回,0.00%
82,501011,汇添富中证中药指数(LOF)A,1.1551,1.1551,1.1378,1.1378,0.0173,1.52,开放申购,开放赎回,0.10%
83,501012,汇添富中证中药指数(LOF)C,1.1401,1.1401,1.1231,1.1231,0.0170,1.51,开放申购,开放赎回,0.00%
84,004041,金鹰医疗健康产业C,2.6098,2.9198,2.5712,2.8812,0.0386,1.50,开放申购,开放赎回,0.00%
85,004040,金鹰医疗健康产业A,2.5003,2.8003,2.4633,2.7633,0.0370,1.50,开放申购,开放赎回,0.12%
86,007254,广发均衡价值混合,2.0875,2.0875,2.0566,2.0566,0.0309,1.50,开放申购,开放赎回,0.15%
87,011383,富安达医药创新混合,1.1062,1.1062,1.0899,1.0899,0.0163,1.50,开放申购,开放赎回,0.15%
88,006981,中金新医药股票A,2.3789,2.3789,2.3439,2.3439,0.0350,1.49,开放申购,开放赎回,0.15%
89,007005,中金新医药股票C,2.3499,2.3499,2.3153,2.3153,0.0346,1.49,开放申购,开放赎回,0.00%
90,501070,广发睿阳三年定开混合,1.8061,2.0341,1.7795,2.0075,0.0266,1.49,暂停申购,暂停赎回,0.15%
91,161616,融通医疗保健行业混合A/B,3.2890,3.6530,3.2410,3.6050,0.0480,1.48,开放申购,开放赎回,0.15%
92,180012,银华富裕主题混合,8.1981,9.1511,8.0796,9.0326,0.1185,1.47,开放申购,开放赎回,0.15%
93,006113,汇添富创新医药混合,3.2959,3.2959,3.2482,3.2482,0.0477,1.47,开放申购,开放赎回,0.15%
94,009275,融通医疗保健行业混合C,3.2680,3.2680,3.2210,3.2210,0.0470,1.46,开放申购,开放赎回,0.00%
95,002300,长盛医疗行业量化配置股票,2.8950,2.8950,2.8540,2.8540,0.0410,1.44,开放申购,开放赎回,0.15%
96,008107,华商医药医疗行业股票,1.6679,1.6679,1.6443,1.6443,0.0236,1.44,开放申购,开放赎回,0.15%
97,090020,大成健康产业混合,2.3620,2.3620,2.3290,2.3290,0.0330,1.42,开放申购,开放赎回,0.15%
98,011598,信达澳银医药健康混合,1.1340,1.1340,1.1182,1.1182,0.0158,1.41,开放申购,开放赎回,0.15%
99,006002,工银医药健康股票A,3.8373,3.8373,3.7843,3.7843,0.0530,1.40,限大额,开放赎回,0.15%
100,006003,工银医药健康股票C,3.7652,3.7652,3.7132,3.7132,0.0520,1.40,限大额,开放赎回,0.00%
101,470006,汇添富医药保健混合A,3.6340,4.0130,3.5840,3.9630,0.05,1.40,开放申购,开放赎回,0.15%
102,005303,嘉实医药健康股票A,2.7362,2.7362,2.6983,2.6983,0.0379,1.40,开放申购,开放赎回,0.15%
103,005304,嘉实医药健康股票C,2.6603,2.6603,2.6235,2.6235,0.0368,1.40,开放申购,开放赎回,0.00%
104,001417,汇添富医疗服务混合,2.5360,2.5360,2.5010,2.5010,0.0350,1.40,开放申购,开放赎回,0.15%
105,860018,光大阳光智造混合A,2.78,2.78,2.7418,2.7418,0.0382,1.39,封闭期,开放赎回,
106,860038,光大阳光智造混合B,1.3304,2.4196,1.3122,2.4014,0.0182,1.39,开放申购,开放赎回,0.15%
107,860039,光大阳光智造混合C,1.3257,2.4130,1.3075,2.3948,0.0182,1.39,开放申购,开放赎回,0.00%
108,009468,博时健康成长双周定期可赎回混合A,1.3068,1.3068,1.2891,1.2891,0.0177,1.37,开放申购,暂停赎回,0.15%
109,009469,博时健康成长双周定期可赎回混合C,1.2956,1.2956,1.2781,1.2781,0.0175,1.37,开放申购,暂停赎回,0.00%
110,011466,兴业医疗保健混合A,1.0458,1.0458,1.0317,1.0317,0.0141,1.37,开放申购,开放赎回,0.15%
111,011467,兴业医疗保健混合C,1.0440,1.0440,1.0299,1.0299,0.0141,1.37,开放申购,开放赎回,0.00%
112,010808,达诚策略先锋混合A,1.0976,1.0976,1.0829,1.0829,0.0147,1.36,开放申购,开放赎回,0.15%
113,008827,建信易盛郑商所能源化工期货ETF联接A,1.3178,1.3178,1.3003,1.3003,0.0175,1.35,开放申购,开放赎回,0.15%
114,010809,达诚策略先锋混合C,1.0963,1.0963,1.0817,1.0817,0.0146,1.35,开放申购,开放赎回,0.00%
115,008828,建信易盛郑商所能源化工期货ETF联接C,1.3138,1.3138,1.2964,1.2964,0.0174,1.34,开放申购,开放赎回,0.00%
116,005805,华泰柏瑞医疗健康A,3.3465,3.3465,3.3027,3.3027,0.0438,1.33,开放申购,开放赎回,0.15%
117,011453,华泰柏瑞医疗健康C,3.3395,3.3395,3.2958,3.2958,0.0437,1.33,开放申购,开放赎回,0.00%
118,004905,华泰柏瑞生物医药混合A,3.4493,3.4493,3.4044,3.4044,0.0449,1.32,开放申购,开放赎回,0.15%
119,010031,华泰柏瑞生物医药混合C,3.4260,3.4260,3.3814,3.3814,0.0446,1.32,开放申购,开放赎回,0.00%
120,005112,银华中证全指医药卫生,2.3972,2.3972,2.3659,2.3659,0.0313,1.32,开放申购,开放赎回,0.12%
121,002919,东吴智慧医疗量化混合A,1.7288,1.7288,1.7063,1.7063,0.0225,1.32,开放申购,开放赎回,0.15%
122,010393,工银健康生活混合A,1.2418,1.2418,1.2256,1.2256,0.0162,1.32,开放申购,开放赎回,0.15%
123,010394,工银健康生活混合C,1.2351,1.2351,1.2190,1.2190,0.0161,1.32,开放申购,开放赎回,0.00%
124,005176,富国精准医疗混合,3.9242,3.9242,3.8733,3.8733,0.0509,1.31,限大额,开放赎回,0.15%
125,011948,东吴智慧医疗量化混合C,1.7269,1.7269,1.7045,1.7045,0.0224,1.31,开放申购,开放赎回,0.00%
126,007111,前海联合国民健康混合C,2.3440,2.3440,2.3140,2.3140,0.03,1.30,开放申购,开放赎回,0.00%
127,004851,广发医疗保健股票A,4.0493,4.0493,3.9978,3.9978,0.0515,1.29,开放申购,开放赎回,0.15%
128,000780,鹏华医疗保健股票,2.9910,2.9910,2.9530,2.9530,0.0380,1.29,开放申购,开放赎回,0.15%
129,004805,长信消费精选量化股票,2.1702,2.1702,2.1426,2.1426,0.0276,1.29,开放申购,开放赎回,0.15%
130,009163,广发医疗保健股票C,4.0288,4.0288,3.9777,3.9777,0.0511,1.28,开放申购,开放赎回,0.00%
131,003581,前海联合国民健康混合A,2.3740,2.3740,2.3440,2.3440,0.03,1.28,开放申购,开放赎回,0.15%
132,519767,交银科技创新灵活配置混合,2.2940,2.3040,2.2650,2.2750,0.0290,1.28,开放申购,开放赎回,0.15%
133,004320,前海开源沪港深乐享生活,1.7947,1.7947,1.7722,1.7722,0.0225,1.27,开放申购,开放赎回,0.15%
134,011040,天弘国证生物医药指数发起式A,1.0942,1.0942,1.0805,1.0805,0.0137,1.27,开放申购,开放赎回,0.10%
135,011041,天弘国证生物医药指数发起式C,1.0932,1.0932,1.0795,1.0795,0.0137,1.27,开放申购,开放赎回,0.00%
136,010336,中欧悦享生活混合A,0.9891,0.9891,0.9768,0.9768,0.0123,1.26,开放申购,开放赎回,0.15%
137,010337,中欧悦享生活混合C,0.9851,0.9851,0.9728,0.9728,0.0123,1.26,开放申购,开放赎回,0.00%
138,006218,富国生物医药科技混合A,2.7103,2.7103,2.6774,2.6774,0.0329,1.23,开放申购,开放赎回,0.15%
139,005646,中海沪港深多策略灵活配置混合,1.3559,1.3559,1.3394,1.3394,0.0165,1.23,开放申购,开放赎回,0.12%
140,011308,富国生物医药科技混合C,2.7026,2.7026,2.6699,2.6699,0.0327,1.22,开放申购,开放赎回,0.00%
141,003513,中邮消费升级,1.6580,1.6580,1.6380,1.6380,0.02,1.22,开放申购,开放赎回,0.15%
142,004075,交银医药创新股票,4.1442,4.1442,4.0945,4.0945,0.0497,1.21,开放申购,开放赎回,0.15%
143,000945,华夏医疗健康混合A,3.1260,3.1260,3.0890,3.0890,0.0370,1.20,开放申购,开放赎回,0.12%
144,000946,华夏医疗健康混合C,3.0270,3.0270,2.9910,2.9910,0.0360,1.20,开放申购,开放赎回,0.00%
145,007592,华夏价值精选混合,1.4305,1.4305,1.4135,1.4135,0.0170,1.20,开放申购,开放赎回,0.15%
146,161726,招商国证生物医药指数(LOF)A,1.0969,1.4051,1.0839,1.3968,0.0130,1.20,开放申购,开放赎回,0.10%
147,012417,招商国证生物医药指数(LOF)C,1.0968,1.0968,1.0839,1.0839,0.0129,1.19,开放申购,开放赎回,0.00%
148,010685,工银前沿医疗股票C,4.8980,4.8980,4.8410,4.8410,0.0570,1.18,开放申购,开放赎回,0.00%
149,003291,信达澳银健康中国混合,2.9130,2.9130,2.8790,2.8790,0.0340,1.18,开放申购,开放赎回,0.15%
150,006136,广发估值优势混合A,2.8807,2.8807,2.8471,2.8471,0.0336,1.18,开放申购,开放赎回,0.15%
151,011430,广发估值优势混合C,2.8759,2.8759,2.8423,2.8423,0.0336,1.18,开放申购,开放赎回,0.00%
152,005812,鹏华产业精选,2.5919,2.5919,2.5617,2.5617,0.0302,1.18,开放申购,开放赎回,0.15%
153,001717,工银前沿医疗股票A,4.9140,4.9140,4.8570,4.8570,0.0570,1.17,开放申购,开放赎回,0.15%
154,590001,中邮核心优选混合,2.0645,3.2845,2.0406,3.2606,0.0239,1.17,开放申购,开放赎回,0.15%
155,001898,易方达大健康混合,2.3550,2.3550,2.3280,2.3280,0.0270,1.16,开放申购,开放赎回,0.15%
156,070001,嘉实成长收益混合A,2.0786,5.8125,2.0548,5.7723,0.0238,1.16,开放申购,开放赎回,0.15%
157,003032,平安医疗健康混合,2.5583,2.5583,2.5292,2.5292,0.0291,1.15,开放申购,开放赎回,0.15%
158,501089,方正富邦消费红利指数增强(LOF),1.4364,1.4364,1.4201,1.4201,0.0163,1.15,开放申购,开放赎回,0.12%
159,005701,上投摩根香港精选港股通,1.42,1.42,1.4038,1.4038,0.0162,1.15,开放申购,开放赎回,0.15%
160,003095,中欧医疗健康混合A,4.0810,4.1920,4.0350,4.1460,0.0460,1.14,限大额,开放赎回,0.15%
161,519979,长信内需成长混合A,3.4701,4.3221,3.4311,4.2831,0.0390,1.14,开放申购,开放赎回,0.15%
162,006397,长信内需成长混合E,3.2588,3.5288,3.2222,3.4922,0.0366,1.14,开放申购,开放赎回,1.50%
163,003096,中欧医疗健康混合C,4.03,4.14,3.9850,4.0950,0.0450,1.13,限大额,开放赎回,0.00%
164,005235,银华食品饮料量化股票发起式A,2.6817,2.6817,2.6518,2.6518,0.0299,1.13,开放申购,开放赎回,0.15%
165,005236,银华食品饮料量化股票发起式C,2.6580,2.6580,2.6284,2.6284,0.0296,1.13,开放申购,开放赎回,0.00%
166,007523,汇添富内需增长股票A,1.9003,1.9003,1.8792,1.8792,0.0211,1.12,开放申购,开放赎回,0.15%
167,007524,汇添富内需增长股票C,1.8749,1.8749,1.8542,1.8542,0.0207,1.12,开放申购,开放赎回,0.00%
168,161122,易方达中证万得生物科技指数(LOF)A,1.1479,1.6201,1.1352,1.6028,0.0127,1.12,开放申购,开放赎回,0.10%
169,010572,易方达中证万得生物科技指数(LOF)C,1.1459,1.1459,1.1332,1.1332,0.0127,1.12,开放申购,开放赎回,0.00%
170,003230,创金合信医疗保健股票A,3.5621,3.4480,3.5230,3.4102,0.0391,1.11,开放申购,开放赎回,0.15%
171,003231,创金合信医疗保健股票C,3.51,3.2059,3.4715,3.1708,0.0385,1.11,开放申购,开放赎回,0.00%
172,005689,中银医疗保健混合A,3.3527,3.3807,3.3159,3.3439,0.0368,1.11,开放申购,开放赎回,0.15%
173,010159,中银医疗保健混合C,3.3420,3.3420,3.3053,3.3053,0.0367,1.11,开放申购,开放赎回,0.00%
174,002264,华夏乐享健康混合,2.47,2.47,2.4430,2.4430,0.0270,1.11,开放申购,开放赎回,0.15%
175,008412,长盛竞争优势股票A,1.2193,1.2193,1.2059,1.2059,0.0134,1.11,开放申购,开放赎回,0.15%
176,011082,国投瑞银医疗保健混合C,1.7510,1.7510,1.7320,1.7320,0.0190,1.10,开放申购,开放赎回,0.00%
177,008413,长盛竞争优势股票C,1.2098,1.2098,1.1966,1.1966,0.0132,1.10,开放申购,开放赎回,0.00%
178,011826,汇添富健康生活一年持有混合A,1.1160,1.1160,1.1039,1.1039,0.0121,1.10,开放申购,暂停赎回,0.15%
179,000523,国投瑞银医疗保健混合A,1.7550,2.8860,1.7360,2.8670,0.0190,1.09,开放申购,开放赎回,0.15%
180,008928,泰达消费红利指数A,1.6820,1.6820,1.6638,1.6638,0.0182,1.09,开放申购,开放赎回,0.12%
181,008929,泰达消费红利指数C,1.6766,1.6766,1.6585,1.6585,0.0181,1.09,开放申购,开放赎回,0.00%
182,011827,汇添富健康生活一年持有混合C,1.1146,1.1146,1.1026,1.1026,0.0120,1.09,开放申购,暂停赎回,0.00%
183,001972,前海开源沪港深智慧生活混合,1.88,1.88,1.86,1.86,0.02,1.08,开放申购,开放赎回,0.15%
184,009119,广发品质回报混合A,1.3343,1.3343,1.32,1.32,0.0143,1.08,开放申购,开放赎回,0.15%
185,009120,广发品质回报混合C,1.3283,1.3283,1.3141,1.3141,0.0142,1.08,开放申购,开放赎回,0.00%
186,007481,华夏逸享健康混合,1.4172,1.4172,1.4022,1.4022,0.0150,1.07,开放申购,开放赎回,0.15%
187,860007,光大阳光价值30个月混合A,2.9086,2.9486,2.8788,2.9188,0.0298,1.04,暂停申购,开放赎回,0.12%
188,001685,汇添富沪港深新价值股票,1.8450,1.8450,1.8260,1.8260,0.0190,1.04,开放申购,开放赎回,0.15%
189,860027,光大阳光价值30个月混合B,1.5831,1.5831,1.5669,1.5669,0.0162,1.03,暂停申购,开放赎回,1.20%
190,162412,华宝医疗ETF联接A,1.4810,0.8387,1.4661,0.8324,0.0149,1.02,开放申购,开放赎回,0.12%
191,012323,华宝医疗ETF联接C,1.4807,1.4807,1.4658,1.4658,0.0149,1.02,开放申购,开放赎回,0.00%
192,009875,天弘甄选食品饮料股票A,1.2791,1.2791,1.2662,1.2662,0.0129,1.02,开放申购,开放赎回,0.12%
193,009876,天弘甄选食品饮料股票C,1.2768,1.2768,1.2639,1.2639,0.0129,1.02,开放申购,开放赎回,0.00%
194,009881,广发中证医疗指数(LOF)C,1.6680,1.6680,1.6514,1.6514,0.0166,1.01,开放申购,开放赎回,0.00%
195,502056,广发中证医疗指数(LOF)A,1.6706,1.6660,1.6540,1.6503,0.0166,1.00,开放申购,开放赎回,0.05%
196,162212,泰达宏利红利先锋混合,1.4190,2.14,1.4050,2.1260,0.0140,1.00,开放申购,开放赎回,0.15%
197,009570,鹏华匠心精选混合A,1.1212,1.1212,1.1102,1.1102,0.0110,0.99,开放申购,开放赎回,0.15%
198,009571,鹏华匠心精选混合C,1.1122,1.1122,1.1013,1.1013,0.0109,0.99,开放申购,开放赎回,0.00%
199,006602,国融融泰灵活配置混合C,1.1104,1.1704,1.0995,1.1595,0.0109,0.99,开放申购,开放赎回,0.00%
200,006601,国融融泰灵活配置混合A,1.1104,1.1704,1.0995,1.1595,0.0109,0.99,开放申购,开放赎回,0.12%
201,006193,鑫元核心资产A,1.7557,1.7557,1.7387,1.7387,0.0170,0.98,开放申购,开放赎回,0.12%
202,006194,鑫元核心资产C,1.7290,1.7290,1.7122,1.7122,0.0168,0.98,开放申购,开放赎回,0.00%
203,519015,海富通精选贰号混合,1.6550,1.9750,1.6390,1.9590,0.0160,0.98,开放申购,开放赎回,0.20%
204,519011,海富通精选混合,0.6572,5.1170,0.6508,5.0959,0.0064,0.98,开放申购,开放赎回,0.15%
205,519056,海富通内需热点混合,2.9470,2.9470,2.9190,2.9190,0.0280,0.96,开放申购,开放赎回,0.15%
206,070099,嘉实优质企业混合,2.7460,4.3480,2.72,4.3220,0.0260,0.96,开放申购,开放赎回,0.15%
207,010555,华安新兴消费混合C,0.9911,0.9911,0.9817,0.9817,0.0094,0.96,开放申购,开放赎回,0.00%
208,590005,中邮核心主题混合,3.6150,3.7750,3.5810,3.7410,0.0340,0.95,开放申购,开放赎回,0.15%
209,010554,华安新兴消费混合A,0.9940,0.9940,0.9846,0.9846,0.0094,0.95,开放申购,开放赎回,0.15%
210,010286,海富通成长价值混合A,0.9602,0.9602,0.9512,0.9512,0.0090,0.95,开放申购,开放赎回,0.15%
211,010287,海富通成长价值混合C,0.9558,0.9558,0.9468,0.9468,0.0090,0.95,开放申购,开放赎回,0.00%
212,005293,诺德新旺,2.2758,2.2758,2.2546,2.2546,0.0212,0.94,开放申购,开放赎回,0.15%
213,005281,中科沃土转型升级混合,1.2986,1.2986,1.2865,1.2865,0.0121,0.94,开放申购,开放赎回,0.15%
214,050026,博时医疗保健行业混合A,4.7590,4.8980,4.7150,4.8540,0.0440,0.93,开放申购,开放赎回,0.15%
215,011895,博时医疗保健行业混合C,4.7520,4.7520,4.7080,4.7080,0.0440,0.93,开放申购,开放赎回,0.00%
216,010220,海富通消费核心混合A,0.9525,0.9525,0.9437,0.9437,0.0088,0.93,开放申购,开放赎回,0.15%
217,010221,海富通消费核心混合C,0.9472,0.9472,0.9385,0.9385,0.0087,0.93,开放申购,开放赎回,0.00%
218,519150,新华优选消费混合,4.0019,4.9379,3.9656,4.9016,0.0363,0.92,开放申购,开放赎回,0.15%
219,007875,国融融兴混合A,1.3325,1.3325,1.3204,1.3204,0.0121,0.92,开放申购,开放赎回,0.12%
220,000831,工银医疗保健股票,4.3170,4.3170,4.2780,4.2780,0.0390,0.91,开放申购,开放赎回,0.15%
221,000870,嘉实新收益混合,2.6610,2.9740,2.6370,2.95,0.0240,0.91,开放申购,开放赎回,0.06%
222,001230,鹏华医药科技,1.4430,1.4430,1.43,1.43,0.0130,0.91,开放申购,开放赎回,0.15%
223,007876,国融融兴混合C,1.3279,1.3279,1.3159,1.3159,0.0120,0.91,开放申购,开放赎回,0.00%
